------interval = 1------
value: 0.8893718771849602  |   index : 6  | accuracy: 1.2220740708743672E-4
value: 0.8978998073104918  |   index : 10  | accuracy: 8.079073698356738E-6
value: 0.8781579814034031  |   index : 13  | accuracy: 4.310254888990155E-7
value: 0.9299115079826761  |   index : 17  | accuracy: 0.0012443897263921338
value: 0.9442962041072882  |   index : 18  | accuracy: 5.649370396101842E-4
value: 1.0587148306126206  |   index : 22  | accuracy: 6.303279835254502E-6
value: 2.5044691226898275  |   index : 31  | accuracy: 0.005250612534672386
value: 2.8467544349531666  |   index : 32  | accuracy: 1.4188281785117805E-4
value: 3.175412169736172  |   index : 33  | accuracy: 0.004161732992228402
value: 3.5053518853237415  |   index : 34  | accuracy: 0.01566813546919207
value: 5.079746680758687  |   index : 46  | accuracy: 1.6350068191791083E-4
value: 5.100070388006694  |   index : 48  | accuracy: 3.2219291370304227E-4
value: 5.097010237493655  |   index : 50  | accuracy: 3.518034858276817E-4
value: 5.0160029540937945  |   index : 57  | accuracy: 5.488003922197012E-5
value: 3.6730569079980944  |   index : 63  | accuracy: 4.7128408218998006E-4
value: 2.9844862476534604  |   index : 65  | accuracy: 0.010484905982023698
value: 2.6422389835057833  |   index : 66  | accuracy: 0.03036031478403597
value: 1.945147204311323  |   index : 68  | accuracy: 0.022147467018155165
value: 1.0110783903661122  |   index : 75  | accuracy: 5.358198246660789E-4
value: 0.9766789237551474  |   index : 79  | accuracy: 7.043566808167307E-5
value: 0.987885949737672  |   index : 81  | accuracy: 1.610057453397342E-6
value: 1.0086672050656011  |   index : 86  | accuracy: 1.3849415269608773E-4
value: 1.003279076231963  |   index : 87  | accuracy: 2.1125701725331056E-4
value: 0.9941312982262202  |   index : 88  | accuracy: 1.6143691781271165E-4
value: 0.9867666970775286  |   index : 89  | accuracy: 4.0287484735593416E-5
------interval = 6------
value: 0.8810787550833212  |   index : 6  | accuracy: 6.877587419269354E-5
value: 0.8978844548420325  |   index : 7  | accuracy: 2.4381159840809194E-5
value: 0.8952712720571149  |   index : 10  | accuracy: 6.9091975782452586E-6
value: 0.9509507466323038  |   index : 17  | accuracy: 4.4264956295599035E-4
value: 0.9676889069188397  |   index : 18  | accuracy: 5.472185448295685E-4
value: 1.1190316472767414  |   index : 24  | accuracy: 1.9800939808807496E-6
value: 2.571175093691947  |   index : 31  | accuracy: 0.004449686567335593
value: 3.1463961970087757  |   index : 33  | accuracy: 8.41926673317E-4
value: 3.429979375868894  |   index : 34  | accuracy: 0.005681015181521063
value: 5.085298348059731  |   index : 48  | accuracy: 2.182131641946664E-4
value: 5.083805735484317  |   index : 50  | accuracy: 1.7435887331461374E-4
value: 3.0334836363248554  |   index : 65  | accuracy: 0.0024007440966157495
value: 2.735143484091757  |   index : 66  | accuracy: 0.008631246229129138
value: 1.0278916662287345  |   index : 75  | accuracy: 2.826862452326366E-4
value: 0.9979719205067233  |   index : 86  | accuracy: 1.1438911179536999E-4
value: 0.9916945315369409  |   index : 87  | accuracy: 1.3420167579096526E-4
value: 0.9874594868938404  |   index : 88  | accuracy: 4.451306645487028E-5
------interval = 7------
value: 0.9614063044676657  |   index : 17  | accuracy: 1.0931868964859752E-4
value: 0.9789029985483051  |   index : 18  | accuracy: 1.2575585107404608E-4
value: 2.622545311414772  |   index : 31  | accuracy: 0.0026388992688904456
value: 3.1290296036771243  |   index : 33  | accuracy: 3.015985639469574E-4
value: 3.3807996737602966  |   index : 34  | accuracy: 0.002418643099490396
value: 5.074153333232278  |   index : 50  | accuracy: 9.316886923516337E-5
value: 3.038095393530394  |   index : 65  | accuracy: 2.126830452283548E-5
value: 2.7772231561231036  |   index : 66  | accuracy: 0.0017706987982657077
value: 0.9889145576267819  |   index : 86  | accuracy: 8.203582233894056E-5
value: 0.9861597994559353  |   index : 87  | accuracy: 3.063325920851172E-5
------interval = 8------
value: 0.872819589315974  |   index : 8  | accuracy: 0.0024876501182427998
value: 0.9083703310095097  |   index : 11  | accuracy: 1.6122175918978864E-4
value: 0.9618715788258052  |   index : 17  | accuracy: 2.1648022834210326E-7
